street_address,zip_code,city,state
8283 CORALBERRY LN,32244,Jacksonville,FL
10603 Dodd Rd,32218,Jacksonville,FL
6114 Delmar Pl,32205,Jacksonville,FL
5747 Adair Cir,32210,Jacksonville,FL
1875 MELROSE PLANTATION DR,32223,Jacksonville,FL
2743 Ribereno Dr N,32217,Jacksonville,FL
10507 PAPPY RD,32257,Jacksonville,FL
3645 BALLESTERO DR N,32257,Jacksonville,FL
11038 Fort George Rd,32226,Jacksonville,FL
2489 CASTAWAY DR,32224,Jacksonville,FL
8550 Touchton Rd,32216,Jacksonville,FL
15254 Little Filly Ct,32234,Jacksonville,FL
36 Pine Manor Dr,32081,Jacksonville,FL
1146 Pebble Ridge Dr,32220,Jacksonville,FL
5612 118TH ST,32244,Jacksonville,FL
10749 GELDING DR,32257,Jacksonville,FL
2331 Eagles Nest Rd,32246,Jacksonville,FL
13863 INTRACOASTAL SOUND DR,32224,Jacksonville,FL
1068 SHAKE ROCK CT,32221,Jacksonville,FL
12387 SUGARBERRY WAY,32226,Jacksonville,FL
14061 Magnolia Cove Rd,32224,Jacksonville,FL
1339 INGLESIDE AVE,32205,Jacksonville,FL
7701 Baymeadows Cir W APT 1096,32256,Jacksonville,FL
4061 Quarterhorse Ct,32223,Jacksonville,FL
12044 Walkers Glen Ln N,32246,Jacksonville,FL
4480 Deerwood Lake Pkwy UNIT 143,32216,Jacksonville,FL
1747 MARITIME OAK DR,32233,Atlantic Beach,FL
13019 AEGEAN DR,32246,Jacksonville,FL
8038 Cayuga Trl S,32244,Jacksonville,FL
2023 Bunting Dr,32210,Jacksonville,FL
11678 THORNAPPLE DR,32223,Jacksonville,FL
8101 Vermanth Rd,32211,Jacksonville,FL
726 Old Hickory Rd,32207,Jacksonville,FL
2404 EMILY DR,32216,Jacksonville,FL
7929 Los Robles Ct,32256,Jacksonville,FL
3726 ROBERT SCOTT DR E,32207,Jacksonville,FL
3935 Bald Eagle Ln,32257,Jacksonville,FL
12545 CARON DR,32258,Jacksonville,FL
4157 STACEY RD W,32250,Jacksonville,FL
12301 KERNAN FOREST BLVD UNIT 902,32225,Jacksonville,FL
4213 CHARLTON CREEK CT,32223,Jacksonville,FL
3030 OAK ST,32205,Jacksonville,FL
1639 Starratt Rd,32226,Jacksonville,FL
2043 Ronald Ln,32216,Jacksonville,FL
3913 PACKARD DR,32246,Jacksonville,FL
8175 Sutton Pl N,32217,Jacksonville,FL
4333 GENTLE KNOLL DR,32258,Jacksonville,FL
639 QUEENS HARBOR BLVD,32225,Jacksonville,FL
3850 VICKERS LAKE DR,32224,Jacksonville,FL
4545 MIDDLETON PARK CIR E,32224,Jacksonville,FL
17627 W BEAVER ST,32234,Jacksonville,FL
959 MYSTIC HARBOR DR,32225,Jacksonville,FL
13994 RED ROCK LAKE DR,32226,Jacksonville,FL
3624 SHREWSBURY DR,32226,Jacksonville,FL
9407 WOODLEIGH MILL DR,32244,Jacksonville,FL
5417 SKY LARK CT,32257,Jacksonville,FL
6433 Cobalt Ave N,32210,Jacksonville,FL
2743 RIBERENO DR,32217,Jacksonville,FL
8095 BROTHERS WALK LN,32277,Jacksonville,FL
902 INGLESIDE AVE,32205,Jacksonville,FL
1237 GREENRIDGE RD,32207,Jacksonville,FL
